source_url,product_id,title,image_url,price,shipping,currency,seller,orders,rating,category,options,captured_at
https://example.com/source/baseus-65w,baseus-65w,Baseus 65W GaN USB C Charger PPS,https://example.com/images/baseus-65w.jpg,19.8,1.6,USD,Baseus Global Store,1240,4.7,usb-c-chargers,"65W US no cable|65W EU with cable|45W cheapest option no cable",2026-05-25
https://example.com/source/ugreen-100w,ugreen-100w,Ugreen 100W GaN Charger 3C1A,https://example.com/images/ugreen-100w.jpg,34.9,2.2,USD,Ugreen Flagship Store,980,4.8,usb-c-chargers,"100W US no cable|100W EU no cable",2026-05-25
https://example.com/source/essager-cable,essager-cable-100w,Essager 100W USB C Cable E Marker,https://example.com/images/essager-cable.jpg,5.9,0,USD,Essager Cable Store,3120,4.6,usb-c-cables,"100W 1m cable|60W 2m cable",2026-05-25
https://example.com/source/toocki-67w,toocki-67w,Toocki 67W GaN USB C Charger,https://example.com/images/toocki-67w.jpg,18.4,2.1,USD,Toocki Official Store,860,4.6,usb-c-chargers,"67W US no cable|67W EU no cable|33W cheapest option",2026-05-25
https://example.com/source/rocoren-140w,rocoren-140w,Rocoren 140W GaN Charger USB C,https://example.com/images/rocoren-140w.jpg,42.6,3.8,USD,Rocoren Direct Store,540,4.5,usb-c-chargers,"140W US no cable|140W EU no cable|100W EU plug option",2026-05-25
https://example.com/source/kuulaa-30w,kuulaa-30w,Kuulaa 30W Mini USB C Charger,https://example.com/images/kuulaa-30w.jpg,8.7,1.4,USD,Kuulaa Charger Store,2210,4.6,usb-c-chargers,"30W EU plug|30W US plug|20W compact option",2026-05-25
https://example.com/source/essager-240w-cable,essager-240w-cable,Essager 240W USB C Cable E Marker,https://example.com/images/essager-240w-cable.jpg,7.8,0,USD,Essager Cable Store,1880,4.7,usb-c-cables,"240W 1m cable|240W 2m cable|60W 2m cable option",2026-05-25
https://example.com/source/zmi-20000-power-bank,zmi-20000-power-bank,ZMI 20000mAh 65W USB C Power Bank,https://example.com/images/zmi-20000-power-bank.jpg,46.5,5.2,USD,ZMI Power Store,720,4.5,power-banks,"20000mAh 65W|20000mAh no cable|10000mAh lower-capacity option",2026-05-25
https://example.com/source/hoto-screwdriver-kit,hoto-screwdriver-kit,HOTO Electric Screwdriver Kit 4Nm,https://example.com/images/hoto-screwdriver-kit.jpg,22.3,4.5,USD,HOTO Tool Store,650,4.6,electric-screwdrivers,"Full kit with battery and bits|Extra bits only|Handle only no bits",2026-05-25
https://example.com/source/tuya-zigbee-sensor,tuya-zigbee-sensor,Tuya Zigbee Door Sensor Smart Home,https://example.com/images/tuya-zigbee-sensor.jpg,6.4,1.2,USD,Tuya Smart Store,3010,4.7,smart-home-sensors,"Zigbee door sensor|Wi-Fi sensor option|Zigbee sensor 3 pack",2026-05-25
